Tamil,English
Let's try something.,ஏதாவது முயற்சி செய்யலாம்.
I have to go to sleep.,நான் தூங்க செல்ல வேண்டும்.
Today is June 18th and it is Muiriel's birthday!,இன்று ஜூன் 18 மற்றும் முரியலின் பிறந்த நாள்!
Muiriel is 20 now.,முரியலுக்கு இப்போது 20 வயது.
"The password is ""Muiriel"".","கடவுச்சொல் ""முரியல்""."
I will be back soon.,நான் விரைவில் திரும்பி வருவேன்.
I'm at a loss for words.,நான் வார்த்தைகளை இழக்கிறேன்.
This is never going to end.,இது ஒருபோதும் முடிவடையாது.
I just don't know what to say.,என்ன சொல்வதென்றே தெரியவில்லை.
That was an evil bunny.,அது ஒரு தீய முயல்.
I was in the mountains.,நான் மலைகளில் இருந்தேன்.
Is it a recent picture?,இது சமீபத்திய படமா?
I don't know if I have the time.,எனக்கு நேரம் இருக்கிறதா என்று தெரியவில்லை.
Education in this world disappoints me.,இந்த உலகில் கல்வி என்னை ஏமாற்றுகிறது.
You're in better shape than I am.,நீங்கள் என்னை விட நல்ல நிலையில் இருக்கிறீர்கள்.
You are in my way.,நீங்கள் என் வழியில் இருக்கிறீர்கள்.
This will cost â‚¬30.,இதற்கு â‚¬30 செலவாகும்.
I make â‚¬100 a day.,நான் ஒரு நாளைக்கு ¬100 சம்பாதிக்கிறேன்.
I may give up soon and just nap instead.,"நான் விரைவில் விட்டுவிடலாம், அதற்கு பதிலாக நான் தூங்கலாம்."
It's because you don't want to be alone.,நீங்கள் தனியாக இருக்க விரும்பாததால் தான்.
That won't happen.,அது நடக்காது.
Sometimes he can be a strange guy.,சில நேரங்களில் அவர் ஒரு விசித்திரமான மனிதராக இருக்கலாம்.
I'll do my best not to disturb your studying.,உன்னுடைய படிப்புக்கு இடையூறு ஏற்படாமல் இருக்க என்னால் முடிந்த அனைத்தையும் செய்வேன்.
I can only wonder if this is the same for everyone else.,எல்லோருக்கும் இப்படித்தான் இருக்குமோ என்றுதான் யோசிக்க முடிகிறது.
I suppose it's different when you think about it over the long term.,நீங்கள் நீண்ட காலமாக இதைப் பற்றி சிந்திக்கும்போது இது வித்தியாசமாக இருக்கும் என்று நினைக்கிறேன்.
I miss you.,நான் உன்னை இழக்கிறேன்.
I'll call them tomorrow when I come back.,நான் திரும்பி வரும்போது நாளை அவர்களை அழைக்கிறேன்.
I always liked mysterious characters more.,நான் எப்போதும் மர்மமான கதாபாத்திரங்களை அதிகம் விரும்பினேன்.
You should sleep.,நீங்கள் தூங்க வேண்டும்.
I'm going to go.,நான் போகப் போகிறேன்.
I told them to send me another ticket.,இன்னொரு டிக்கெட்டை அனுப்பச் சொன்னேன்.
You're so impatient with me.,நீங்கள் என்னிடம் மிகவும் பொறுமையாக இருக்கிறீர்கள்.
I can't live that kind of life.,என்னால் அப்படிப்பட்ட வாழ்க்கையை வாழ முடியாது.
I once wanted to be an astrophysicist.,நான் ஒரு முறை வானியற்பியல் நிபுணராக விரும்பினேன்.
I never liked biology.,எனக்கு உயிரியல் பிடிக்கவில்லை.
The last person I told my idea to thought I was nuts.,கடைசியாக நான் என் யோசனையைச் சொன்னவர் நான் முட்டாள் என்று நினைத்தேன்.
"If the world weren't in the shape it is now, I could trust anyone.","உலகம் இப்போது இருக்கும் வடிவத்தில் இல்லையென்றால், நான் யாரையும் நம்பலாம்."
It is unfortunately true.,இது துரதிர்ஷ்டவசமாக உண்மை.
They are too busy fighting against each other to care for common ideals.,பொதுவான இலட்சியங்களைக் கவனிக்க முடியாத அளவுக்கு அவர்கள் ஒருவருக்கொருவர் சண்டையிடுவதில் மும்முரமாக உள்ளனர்.
Most people think I'm crazy.,பெரும்பாலான மக்கள் என்னை பைத்தியம் என்று நினைக்கிறார்கள்.
No I'm not; you are!,இல்லை நான் இல்லை; நீங்கள்!
That's MY line!,அது என் வரி!
He's kicking me!,அவர் என்னை உதைக்கிறார்!
Are you sure?,நீங்கள் உறுதியாக இருக்கிறீர்களா?
Then there is a problem...,அப்புறம் ஒரு பிரச்சனை...
"Oh, there's a butterfly!","ஓ, ஒரு பட்டாம்பூச்சி இருக்கிறது!"
Hurry up.,சீக்கிரம்.
It doesn't surprise me.,இது எனக்கு ஆச்சரியமாக இல்லை.
For some reason I feel more alive at night.,சில காரணங்களால் நான் இரவில் அதிக உயிருடன் உணர்கிறேன்.
It depends on the context.,இது சூழலைப் பொறுத்தது.
Are you freaking kidding me?!,நீங்கள் என்னை கேலி செய்கிறீர்களா?!
That's the stupidest thing I've ever said.,நான் சொன்னதிலேயே முட்டாள்தனமான விஷயம் அது.
I don't want to be lame; I want to be cool!!,நான் நொண்டியாக இருக்க விரும்பவில்லை; நான் குளிர்ச்சியாக இருக்க வேண்டும்!!
"When I grow up, I want to be a king.",நான் பெரியவனானதும் அரசனாக வேண்டும்.
"America is a lovely place to be, if you are here to earn money.",நீங்கள் பணம் சம்பாதிக்க இங்கே இருந்தால் அமெரிக்கா ஒரு அழகான இடம்.
I'm so fat.,நான் மிகவும் கொழுப்பாக இருக்கிறேன்.
So what?,அதனால் என்ன?
I'm gonna shoot him.,நான் அவனை சுடுவேன்.
"I'm not a real fish, I'm just a mere plushy.","நான் ஒரு உண்மையான மீன் அல்ல, நான் வெறும் பட்டுப் பிடித்தவன்."
I'm just saying!,நான் தான் சொல்கிறேன்!
That was probably what influenced their decision.,அதுவே அவர்களின் முடிவைப் பாதித்தது.
I've always wondered what it'd be like to have siblings.,உடன்பிறந்தவர்கள் இருந்தால் எப்படி இருக்கும் என்று நான் எப்போதும் யோசித்திருக்கிறேன்.
This is what I would have said.,இதைத்தான் சொல்லியிருப்பேன்.
It would take forever for me to explain everything.,எல்லாவற்றையும் விளக்குவதற்கு நான் எப்போதும் எடுக்கும்.
That's because you're a girl.,நீ ஒரு பெண் என்பதால் தான்.
Sometimes I can't help showing emotions.,சில நேரங்களில் என்னால் உணர்ச்சிகளைக் காட்டாமல் இருக்க முடியாது.
It's a word I'd like to find a substitute for.,இது நான் ஒரு மாற்றீட்டைக் கண்டுபிடிக்க விரும்பும் வார்த்தை.
It would be something I'd have to program.,இது நான் நிரல் செய்ய வேண்டிய ஒன்றாக இருக்கும்.
I don't intend to be selfish.,நான் சுயநலமாக இருக்க விரும்பவில்லை.
Let's consider the worst that could happen.,நடக்கக்கூடிய மோசமானதைக் கருத்தில் கொள்வோம்.
How many close friends do you have?,உங்களுக்கு எத்தனை நெருங்கிய நண்பர்கள் உள்ளனர்?
"I may be antisocial, but it doesn't mean I don't talk to people.","நான் சமூக விரோதியாக இருக்கலாம், ஆனால் நான் மக்களுடன் பேசுவதில்லை என்று அர்த்தமில்லை."
